SPY
QQQ
IWM
GDX
SCHD
SCHG
SOFI
VG
TSLA
TMUS
TSM 
LLY
BMNR
CIFR
RIVN
YUM
HOOD
PLTR
GME
AMC
GOOG
GOOGL
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AVGO
PEP
COST
ADBE
CSCO
AMD
TMUS
INTC
CMCSA
NFLX
QCOM
TXN
HON
AMGN
INTU
SPGI
COP
UNH
JNJ
JPM
V
PG
MA
HD
CVX
MRK
ABBV
LLY
BAC
PFE
SLB
WMT
DIS
XOM
NKE
ORCL
BAC
CRM
MCD
IBM
SCHW
UPS
NEE
